img_id,gt_position,roc_cdm,gguf_cdm,cdm_diff,roc_edit,gguf_edit,gt,roc_pred
PPT_CalculusReview_page_014.png,[3],0.0,1.0,1.0,0.0,0.0,$$\nabla C = \mathbf{i}\frac{\partial C}{\partial x} + \mathbf{j}\frac{\partial C}{\partial y}$$,\[ \nabla C=\mathbf{i}\frac{\partial C}{\partial x}+\mathbf{j}\frac{\partial C}{\partial y} \]
PPT_CalculusReview_page_014.png,[5],0.0,1.0,1.0,0.3125,0.3125,$$ \mathbf{J} = -D \nabla C $$,\[ {\bf J}=-D\nabla C \]
PPT_CalculusReview_page_033.png,[2.001],0.0,1.0,1.0,0.0,0.0,\[\int ax^n \partial x = a \frac{x^{(n+1)}}{n+1} + C\],\[\int ax^{n}\partial x&=a\frac{x^{(n+1)}}{n+1}+C\]
PPT_CalculusReview_page_033.png,[2.002],0.0,1.0,1.0,0.0,0.0,\[\int ax \partial x = a \frac{x^2}{2} + C\],\[\int ax\partial x&=a\frac{x^{2}}{2}+C\]
PPT_CalculusReview_page_033.png,[2.003],0.0,1.0,1.0,0.0,0.0,\[\int ax^2 \partial x = a \frac{x^3}{3} + C\],\[\int ax^{2}\partial x&=a\frac{x^{3}}{3}+C\]
PPT_MMAT5390Lecture1_page_023.png,[4],0.0,1.0,1.0,0.0,0.0,"$$
f : \Omega \to \mathbb { R }
$$",\[ f:\Omega \to \mathbb{R} \]
PPT_MMAT5390Lecture1_page_023.png,[8],0.0,1.0,1.0,0.047619047619047616,0.047619047619047616,"$$
f(x, y)=\left[\begin{array}{cccc}f(1,1) & f(1,2) & \ldots & f(1, N) \\ f(2,1) & f(2,2) & \ldots & f(2, N) \\ \vdots & \vdots & & \vdots \\ f(N, 1) & f(N, 2) & \ldots & f(N, N)\end{array}\right] 
$$","\[ f(x,y)=\begin{bmatrix}f(1,1)&f(1,2)&\cdots&f(1,N)\\ f(2,1)&f(2,2)&\cdots&f(2,N)\\ \vdots&\vdots&&\vdots\\ f(N,1)&f(N,2)&\cdots&f(N,N)\end{bmatrix} \]"
PPT_MMAT5390Lecture1_page_024.png,[3],0.0,1.0,1.0,0.0,0.0,"$$
f : = ( f _ { R } , f _ { G } , f _ { B } ) : \Omega \to \mathbb { R } ^ { 3 }
$$","\[ f:=(f_{R},f_{G},f_{B}):\Omega\to\mathbb{R}^{3} \]"
PPT_StewartCalcET7e_03_02_page_007.png,[3],0.0,1.0,1.0,0.0,0.0,"$$
\frac { \Delta ( u v ) } { \Delta x } = u \frac { \Delta v } { \Delta x } + v \frac { \Delta u } { \Delta x } + \Delta u \frac { \Delta v } { \Delta x }
$$",\[ \frac{\Delta(uv)}{\Delta x}=u\frac{\Delta v}{\Delta x}+v\frac{\Delta u}{\Delta x}+\Delta u\frac{\Delta v}{\Delta x} \]
PPT_StewartCalcET7e_03_02_page_007.png,[5.001],0.0,1.0,1.0,0.0,0.0,\[\frac{d}{dx}(uv) &= \lim_{\Delta x \to 0} \frac{\Delta(uv)}{\Delta x} = \lim_{\Delta x \to 0} \left( u \frac{\Delta v}{\Delta x} + v \frac{\Delta u}{\Delta x} + \Delta u \frac{\Delta v}{\Delta x} \right)\],\[\frac{d}{dx}\left(uv\right)&=\lim_{\Delta x\to0}\frac{\Delta(uv)}{\Delta x}=\lim_{\Delta x\to0}\left(u\frac{\Delta v}{\Delta x}+v\frac{\Delta u}{\Delta x}+\Delta u\frac{\Delta v}{\Delta x}\right)\]
PPT_StewartCalcET7e_03_02_page_007.png,[5.002],0.0,1.0,1.0,0.0,0.0,\[&= u \lim_{\Delta x \to 0} \frac{\Delta v}{\Delta x} + v \lim_{\Delta x \to 0} \frac{\Delta u}{\Delta x} + \left( \lim_{\Delta x \to 0} \Delta u \right) \left( \lim_{\Delta x \to 0} \frac{\Delta v}{\Delta x} \right)\],\[&=u\lim_{\Delta x\to0}\frac{\Delta v}{\Delta x}+v\lim_{\Delta x\to0}\frac{\Delta u}{\Delta x}+\left(\lim_{\Delta x\to0}\Delta u\right)\left(\lim_{\Delta x\to0}\frac{\Delta v}{\Delta x}\right)\]
PPT_StewartCalcET7e_03_02_page_007.png,[5.003],0.0,1.0,1.0,0.0,0.0,\[&= u \frac{dv}{dx} + v \frac{du}{dx} + 0 \cdot \frac{dv}{dx}\],\[&=u\frac{dv}{dx}+v\frac{du}{dx}+0\cdot\frac{dv}{dx}\]
PPT_StewartCalcET7e_03_02_page_010.png,[5],0.0,1.0,1.0,0.0,0.0,"$$
f ^ { \prime } ( x ) = \frac { d } { d x } \left( x e ^ { x } \right)
$$",\[f^{\prime}(x)&=\frac{d}{dx}\left(xe^{x}\right)\]
PPT_StewartCalcET7e_03_02_page_010.png,[6],0.0,1.0,1.0,0.0,0.0,"$$
= x \frac{d}{dx}(e^x) + e^x \frac{d}{dx}(x)
$$",\[&=x\frac{d}{dx}\left(e^{x}\right)+e^{x}\frac{d}{dx}\left(x\right)\]
PPT_StewartCalcET7e_03_02_page_010.png,[7],0.0,1.0,1.0,0.0,0.0,"$$
= x e ^ { x } + e ^ { x } \cdot 1 = ( x + 1 ) e ^ { x }
$$",\[&=xe^{x}+e^{x}\cdot1=(x+1)e^{x}\]
PPT_StewartCalcET7e_03_02_page_012.png,[5],0.0,1.0,1.0,0.0,0.0,"$$
f ^ { ( n ) } ( x ) = ( x + n ) e ^ { x }
$$",\[ f^{(n)}(x)=(x+n)e^{x} \]
